A	B
1007_s_at	0.307865154145421	0.23218452311394
1053_at	-0.435054596852677	-0.0720280070717703
117_at	0.138475735287468	-0.18190140911622
121_at	0.102767413974965	-0.0196898156790599
1255_g_at	0	6.14837150123918
1294_at	-0.0256637807564681	-0.200039822219481
1316_at	-3.38391853800018	-0.681274282955975
1405_i_at	0.028894950338227	0
1431_at	0.403317230386618	0.0331476931956551
1438_at	0	-4.79598622127737
1487_at	0.324917714145347	0.441055930503943
1494_f_at	-1.97705377470456	3.0298939594008
1552256_a_at	-0.928133533494501	-0.242749290079717
1552257_a_at	-0.285121590870862	0.139116285202604
1552258_at	0.459212252898872	1.21499849601137
1552263_at	0.575822818578225	-0.352764366351979
1552264_a_at	-0.569754809008272	-0.946209550649291
1552266_at	0	1.19481097309326
1552272_a_at	-0.269683247172693	0
1552274_at	-3.67496037552627	-1.02734482595173
1552275_s_at	-0.645102626953781	0.116416152583636
1552277_a_at	0.209487732061648	0.114721153925366
1552279_a_at	-0.164435474069646	-0.0489896613069103
1552281_at	-7.47641567689719	0
1552283_s_at	0.0830649018960772	-0.332875590178721
1552286_at	0.311298428066844	0.408297388134389
1552287_s_at	0.694961569024864	0.277705099994277
1552291_at	1.43633014829449	1.48239400573359
1552295_a_at	-1.49646788024773	-1.20745857248057
1552296_at	0	4.47851024602589
1552299_at	0.010055012615191	0.172933689362805
1552301_a_at	0.0946321114231585	0.148819772927514
1552302_at	-1.04070880823414	0
1552303_a_at	-6.82829500344442	0
1552304_at	6.07213163280496	0
1552306_at	0.547117129768065	1.29253956476761
1552307_a_at	2.62531902877029	0
1552309_a_at	-1.01270748762699	-2.10207566994098
1552310_at	0.615393836688924	0.891811547572173
1552312_a_at	-0.363639498668528	-0.53508729589972
1552314_a_at	-0.0442449920145718	2.60131135819511
1552315_at	0	-4.26469350865005
1552316_a_at	0	0.113618985876023
1552318_at	1.82053745435526	4.28853084905097
1552322_at	4.66235408390443	0
1552323_s_at	0.67805428275042	5.62552435948362
1552325_at	0	0
1552326_a_at	0	1.64790702539152
1552327_at	3.54590503615291	-0.0438126758311626
1552329_at	0.925043036256674	0.736315939308533
1552330_at	0.242703959177383	0.262908689670596
1552334_at	0.00364813401424247	-1.73185979185687
1552343_s_at	0.110143769291838	-0.140727067298534
1552344_s_at	0.19713864738421	-0.600285125772091
1552347_at	0.421356350956387	0.339305496357627
1552348_at	0.286716129505391	0
1552349_a_at	-0.10991682786335	0
1552360_a_at	0.761409894470012	2.56272850892336
1552362_a_at	-0.00884935452077329	0.202896004542713
1552364_s_at	-0.128504104668369	-2.53190268748102
1552365_at	5.29872760567938	0.912067936785743
1552367_a_at	0	0
1552368_at	0.920003684420697	0
1552370_at	-0.147900194349266	-0.107148298610689
1552375_at	0.873846130099104	0.665320621000281
1552377_s_at	-2.30003463600513	0
1552378_s_at	3.86207182954944	0
1552381_at	1.70152969973128	-0.0733859007277573
1552386_at	1.34391997849401	2.17863158866196
1552389_at	-1.75611711004518	2.39057531799178
1552390_a_at	0	2.42517258220895
1552399_a_at	-3.9380133150682	-6.64120320754287
1552400_a_at	1.69269694027775	-1.21995625245877
1552401_a_at	0	0
1552410_at	-3.58034885911511	0
1552417_a_at	0.221588241619171	0
1552422_at	-2.33115235834452	0
1552423_at	-1.17714686375923	-3.52462087967459
