A	B
1007_s_at	0.31875890697893	0.212750071318887
1053_at	-0.464392848144479	-0.0315894931501175
117_at	1.29076306764592	-0.120567278301304
121_at	0.0682667704395694	-0.0190143105715883
1255_g_at	0	3.79176432472351
1294_at	-0.136388079295984	-0.163777190157941
1316_at	-2.05843195612673	-0.879185133250266
1405_i_at	0.0819380457047139	0
1431_at	1.28718360852497	0.0581375995671269
1438_at	-1.37531950102972	-4.35003572141664
1487_at	0.342091528553581	0.472862324191608
1494_f_at	-1.27086933268883	1.16729068843326
1552256_a_at	-0.904590144540384	-0.229883993032214
1552257_a_at	-0.264659492684642	0.156194253039803
1552258_at	0.485718052074607	0.464000100474323
1552263_at	0.587132783289713	-1.04333511726734
1552264_a_at	-0.540354338449122	-0.921492276657911
1552266_at	0.146394358861735	0.166916935506935
1552272_a_at	-0.195642507427346	-1.81945944718252
1552274_at	-2.89110095118771	-1.02305651353277
1552275_s_at	-0.489721486554716	0.134439997412359
1552277_a_at	0.231199130369379	0.112835606451352
1552279_a_at	-0.117308217755598	-0.081933590117421
1552281_at	-7.48113356212506	0
1552283_s_at	0.132319002189837	-0.323680606722091
1552286_at	0.372692577967766	0.391337787497148
1552287_s_at	0.673239280682457	0.294617102226312
1552291_at	1.4899456295142	1.41380806732018
1552295_a_at	-1.451052325181	-1.15326904751644
1552296_at	0	1.96889638495161
1552299_at	1.20880344444859	0.258096765902411
1552301_a_at	0.268225000996644	0.109478789948039
1552302_at	-1.20134269895396	-0.383153753842089
1552303_a_at	-4.4867374502008	-0.872460357119664
1552304_at	5.02323599804822	-1.06907300608755
1552306_at	0.545130398288078	0.0197431043699934
1552307_a_at	2.96100385649531	0
1552309_a_at	-1.00852259245931	-1.92791063034276
1552310_at	0.64850932121008	0.885178916024048
1552312_a_at	-0.359164710558039	-0.471577200237235
1552314_a_at	0.0773136355210262	1.86221366243611
1552315_at	0	-2.73640365256932
1552316_a_at	-0.419508693717714	0.176069185529051
1552318_at	-0.0255244468414546	3.38377521045422
1552322_at	4.05438359714415	-0.256156424907089
1552323_s_at	0.727690119909634	4.44997699211189
1552325_at	-0.312985051988668	-1.52407114943765
1552326_a_at	-0.490432233967317	1.32522198759074
1552327_at	3.12596549912369	-0.0730337468780746
1552329_at	0.943602986093045	0.709959492539845
1552330_at	0.258960424121538	0.267574278976177
1552334_at	-0.00103721628568643	-1.22880958874786
1552343_s_at	0.132878309835809	-0.130326984301776
1552344_s_at	0.169745688129667	-0.472116780259984
1552347_at	0.41588444062838	0.290385739991686
1552348_at	0.291809449152379	0
1552349_a_at	-0.135541910695078	0
1552360_a_at	0.796699701042689	2.62498114363069
1552362_a_at	0.0617806394242617	0.186403020284948
1552364_s_at	-0.136271149329102	-1.61447633623247
1552365_at	3.88941195650016	0.83279095493955
1552367_a_at	0	-1.56383232284768
1552368_at	1.02962058475098	-0.512905832657159
1552370_at	-0.18396311712845	-0.0779014758480088
1552375_at	0.660232155847777	1.19747128018698
1552377_s_at	-2.62788759035811	0
1552378_s_at	2.16455963665269	0
1552381_at	0.480417513106692	-0.127409637196605
1552386_at	0.514264272802125	1.02613693025084
1552389_at	-2.20419293053665	1.41121595826453
1552390_a_at	0	0.126672542562011
1552399_a_at	-3.63724376760591	-6.61922273780811
1552400_a_at	1.99833190712187	-1.28324950851633
1552401_a_at	-1.09575435023648	-0.951119624716066
1552410_at	-2.18213109981639	-0.195473197338056
1552417_a_at	0.179237597164647	0
1552422_at	-4.09807999746056	0
1552423_at	-1.22356348888598	-4.04608532719107
1552426_a_at	1.0689041663121	0.847010434723252
1552427_at	1.59224554276979	2.68365508926267
1552430_at	-2.36059461977641	-1.56433853691659
1552439_s_at	0	0.335608066658752
1552445_a_at	2.99917738556738	0.459222170977392
1552455_at	0.430273287946505	-0.198476084505407
1552463_at	0.435422563827816	0.428320362225442
1552470_a_at	-5.17928654819116	0
1552472_a_at	0.0639765530551344	-0.273783892390552
1552474_a_at	-1.15609475626136	-3.94858111300734
1552476_s_at	-2.98928199270203	-0.292587135156113
1552477_a_at	0	-0.0299592442076921
1552478_a_at	0	-0.643936089128718
1552481_s_at	0.91388025571475	0.485483658197503
1552482_at	-1.09784034565481	-0.727489454653192
1552485_at	-0.239797893648166	-0.0760394671356224
1552486_s_at	0.460663670449419	0.0497569947817693
1552489_s_at	2.24458987919042	0.733368550180896
1552490_at	-0.335136854218189	2.85542242007177
1552496_a_at	-0.452670878971454	-0.273506231935874
1552497_a_at	1.70408310104975	1.38345480632117
1552498_at	0.386351458487879	2.1064691374959
1552499_a_at	2.86048614101079	1.03139682649223
1552502_s_at	-1.70937758101828	-0.360494174840003
1552504_a_at	-0.337366356964877	0.844814852017386
1552506_at	0	2.7701520315403
1552507_at	-4.39655673048247	0
1552508_at	-2.46774835012958	-1.27892338109281
1552514_at	-0.232102413799977	0.126162933892277
1552516_a_at	-7.58754985438883	-7.94539026756005
1552519_at	0.00516076144738875	0.0129742132266681
1552520_at	0.776857076824859	-0.299215774168865
1552521_a_at	2.22471970642931	0.0794346641498329
1552523_a_at	2.27064523241968	1.04100931966327
1552531_a_at	0.329126634137391	0
1552536_at	-4.83582146530527	-0.981759698601578
1552543_a_at	-0.919820156268128	-0.427656545119615
1552544_at	-0.163882465802256	1.6151878437956
1552546_a_at	3.35725723749281	1.33750809419199
1552555_at	-3.69203195423025	0
1552557_a_at	3.58281541435279	2.21915880099694
1552558_a_at	-0.882721114770612	-0.638930485957504
1552562_at	3.14134771655038	1.35697261867692
1552563_a_at	-0.590629238321395	-3.89777565000422
1552564_at	-0.450224904830774	-0.0846865658607416
1552572_a_at	3.30545287084836	0.286940888658643
1552573_s_at	4.40975440984149	1.06884212826571
1552575_a_at	0.0833303453309195	0
1552579_a_at	-1.41161685518564	-1.27461176651299
1552580_at	-1.43780201858233	0
1552584_at	-0.17495764967487	0.850356880543472
1552587_at	2.77858323683392	-0.00993077788561114
1552607_at	2.19406966868141	-0.112504586265753
1552609_s_at	1.01577203534954	-0.209280227266451
1552610_a_at	-0.197855639087852	-0.191803115581209
1552611_a_at	-6.75029729908808	-5.49852325554975
1552612_at	-0.719766385160614	-0.747698975711266
1552613_s_at	-0.510621727733269	-0.899302851107549
1552615_at	-0.43050333569769	-2.13307540741088
1552617_a_at	-0.0790844524446772	-0.200721325163812
1552618_at	-0.597895477181467	-0.698018811559157
1552619_a_at	0.319767468554133	0.294813440876952
1552621_at	-2.37804438976957	-1.75396084613725
1552622_s_at	-2.56625087838844	-1.88247758202571
1552623_at	-2.33796753858115	0
1552625_a_at	-0.0739908864876657	0.38717464603394
1552626_a_at	-0.312479607765745	0.204896982504822
1552627_a_at	-0.104432703571169	-0.302265548860364
1552628_a_at	0.0316455937356288	0.0103628718904023
1552631_a_at	-4.71751576848199	-2.36207602980024
1552632_a_at	-0.399408830671196	-0.174341849501272
1552633_at	-0.237317069018011	-0.637596845606347
1552634_a_at	0.120031707288405	1.6704710443405
1552641_s_at	-8.72438411007272	0
1552644_a_at	0.199212304945999	-0.965580600952958
1552646_at	-1.38965967517498	-4.27702342926449
1552648_a_at	-2.11337622969455	0
1552649_a_at	-1.26563678397244	-2.8943331661977
1552652_at	-0.30653686143957	-0.0810581879761312
1552656_s_at	-7.0845893818202	-6.79935799559232
1552658_a_at	0.0833141633369747	0.0948466148286897
1552660_a_at	-0.731969271968092	-0.548791349522054
1552663_a_at	-6.07243743235082	-8.34713140057492
1552664_at	1.55903905558476	1.23849694957538
1552665_at	-0.207730745760037	-1.18104620029469
1552666_a_at	0	-0.405790475239934
1552667_a_at	0	-4.59688072239305
1552670_a_at	-0.30979156438348	0.904634584078258
1552671_a_at	-2.34033880859486	-1.29381777630166
1552677_a_at	-1.88154680568027	0
1552678_a_at	-1.32494856150972	-0.517512653587479
1552680_a_at	-3.12863869505868	0
1552682_a_at	-0.592169906579312	-1.28400653148881
1552684_a_at	2.71642236016851	3.51587468826529
1552685_a_at	-1.24196974194712	0
1552689_at	0	-0.402469208738571
1552690_a_at	-1.92720891793889	0.392704884896606
1552691_at	-1.55737841408056	-0.979975959710737
1552694_at	2.80676140292924	-2.37050536409449
1552695_a_at	0.251373187849217	-0.880521737708167
1552696_at	-0.042521152005647	-0.341261678608699
1552698_at	0.189518485381469	1.72976299603259
1552701_a_at	0.383061812638925	-0.154171104622769
1552703_s_at	1.02105039107666	4.63320656041156
1552705_at	3.74903728410882	5.0280757191771
1552708_a_at	0.829700982015348	-0.378847023974181
1552711_a_at	0.0157780522323332	0.103450182139381
1552712_a_at	0	-5.63809541783529
