A	B
1007_s_at	0.297780446303694	0.210516505808529
1053_at	-0.45715755966226	-0.0303576120828932
117_at	0.190408348943583	-0.162321513669133
121_at	0.0300619161635165	-0.0370753218568449
1255_g_at	0	6.75572221414389
1294_at	-0.0953262621426045	-0.11620088289784
1316_at	-3.87535105967515	-0.786310047888299
1405_i_at	0.0726762794281379	0
1431_at	0.315420656442996	0.0991121291006323
1487_at	0.316121426482173	0.456080447913482
1494_f_at	-2.31638180705739	2.13429196764067
1552256_a_at	-0.934476123092027	-0.296963049526907
1552257_a_at	-0.254577368737881	0.189270786797508
1552258_at	0.448318215239748	0
1552263_at	0.548836769464762	-1.9028754082183
1552264_a_at	-0.578200134731475	-0.9207633503576
1552272_a_at	-0.279767955014422	0
1552274_at	-1.76393297597901	-0.993659141713861
1552275_s_at	-0.55122729999022	0.133004542635341
1552277_a_at	0.218816889329752	0.157045684025885
1552279_a_at	-0.150825750600112	-0.11153819506576
1552281_at	-8.20927863736118	0
1552283_s_at	0.127569348421705	-0.359929408989011
1552286_at	0.387059695529821	0.375171869847087
1552287_s_at	0.644696875454404	0.249072229896198
1552291_at	1.44318061871487	1.44346518647142
1552295_a_at	-1.49225023822365	-1.18442537799284
1552299_at	0.0910427803043055	0.188629544104368
1552301_a_at	0.218092843124985	0.120305481562882
1552302_at	-1.29703625590411	0
1552303_a_at	-5.50486931735636	0
1552304_at	6.63740606494174	0
1552306_at	0.539481133862256	0
1552307_a_at	2.84512489567617	0
1552309_a_at	-1.03242176036019	-0.91467677321546
1552310_at	0.639177432954281	0.874289878010295
1552312_a_at	-0.408658626956479	-0.458517055211829
1552314_a_at	-0.0543296998563001	3.75900791690542
1552316_a_at	0	0.0815100523096817
1552322_at	5.581645295806	0
1552323_s_at	0.698238254715261	6.33383815289
1552325_at	0	0
1552327_at	5.93085857265677	-0.0826880878261846
1552329_at	0.945945121186771	0.749538983804143
1552330_at	0.25220232953335	0.231658949367642
1552334_at	0.0265103403117504	-1.97425131611561
1552343_s_at	0.182143050732891	-0.19376900915661
1552344_s_at	0.142842381712811	-0.584319826833113
1552347_at	0.397443180646535	0.316418973490205
1552348_at	0.308713775770654	0
1552349_a_at	-0.151021739094973	0
1552360_a_at	0.749553761031082	2.90981209794093
1552362_a_at	0.0178784215772723	0.162688600430902
1552364_s_at	-0.124171610587937	-2.41912377297352
1552365_at	6.251450555516	0.862937047114514
1552368_at	0.984059013835079	0
1552370_at	-0.209239061218478	-0.0723303265625077
1552375_at	0.86504984243593	2.40010299341992
1552377_s_at	-2.5487836217208	0
1552378_s_at	4.29833620470084	0
1552381_at	0	-0.240308261490098
1552390_a_at	0	1.84567858914165
1552399_a_at	-4.42485868422272	-7.36683480193236
1552400_a_at	2.03627112961317	-1.29641212209263
1552410_at	-4.06829594767961	0
1552417_a_at	0.203662704517786	0
1552422_at	-5.10633502320004	0
1552423_at	-1.24898625087966	-5.02583019780352
1552426_a_at	1.06628068680496	0.852170246730209
1552427_at	0.486789864405504	3.95223115648862
1552430_at	-1.92155232825932	-1.59209954138686
1552439_s_at	0	0.31560332715145
1552445_a_at	2.88370598677451	0
1552455_at	0.495483843815235	-0.248987170201847
1552470_a_at	-7.16271121487763	0
1552472_a_at	0.0244842351751249	0
1552474_a_at	-1.09704922673771	-3.77921000973942
1552477_a_at	0	-0.0540799332240507
1552481_s_at	1.986149455988	1.925948790477
1552482_at	0	-0.27380751329712
1552485_at	-0.276685606158379	0.00507705763899846
1552486_s_at	0.458751338570492	0.126965444270211
1552489_s_at	3.27846692671017	1.85628772270218
1552490_at	-0.371426365492167	4.10721721609698
1552496_a_at	-0.455216133921829	-0.288413945976849
1552497_a_at	3.83498598397512	2.55889702049591
1552499_a_at	5.9595286695114	0
1552502_s_at	0	-0.39488408259002
1552504_a_at	0	0.804176687532257
1552506_at	0	4.7413879904908
1552507_at	-5.04698006919428	0
1552508_at	-1.48783829622553	0
1552514_at	0	0.0720846722565938
1552516_a_at	-8.31730939518867	-8.70741044593102
1552519_at	0.0825646698314904	0.0521144313022841
1552520_at	1.84378043482383	-0.191499021209286
1552521_a_at	4.96279417235373	0.0808745923032506
1552531_a_at	0.323974631830072	0
1552536_at	-6.59830984807415	0
1552544_at	0	1.77091729975302
1552546_a_at	5.82672251233775	0.165210086004217
1552557_a_at	4.59025022617355	2.3187308849298
1552562_at	4.11264043546675	4.15667355258719
1552563_a_at	0	-4.64504513245365
1552572_a_at	5.80359326796676	0
1552573_s_at	7.10555435119049	0
1552575_a_at	-0.0985398956380834	0
1552580_at	-0.268722636399979	0
1552587_at	4.96701798642339	0
1552607_at	2.14943574551006	0
1552610_a_at	-0.237457522855729	-0.218494400839649
1552611_a_at	-8.67312491511281	-6.52227173129301
1552612_at	-0.670162911014934	-0.768559659700093
1552613_s_at	-0.535955150147293	-0.92151098831568
1552615_at	0	0
1552617_a_at	-0.103095014884362	-0.197373843779586
1552618_at	-0.606304634761555	-0.738346682351974
1552619_a_at	0.318366469196695	0.2996808283351
1552621_at	-2.39357076093052	-1.74942606102636
1552622_s_at	-2.58917622100071	-1.84465404446539
1552625_a_at	-0.103221648031424	0.394813794593169
1552626_a_at	0	0.123564235623023
1552627_a_at	-0.0739422833446142	-0.286022261114221
1552628_a_at	0.0293960819539709	-0.0131759064146433
1552631_a_at	-6.52360060793832	-2.19887480020982
1552632_a_at	-0.422454263002566	-0.184670848789374
1552633_at	-0.202682447970254	-0.875511257131572
1552634_a_at	0.0394049954737952	3.93413041795098
1552641_s_at	-9.49057048174152	0
