A	B
1007_s_at	0.782917211662753	0.320280144420625
1053_at	-0.0541149595576602	0.0702621660767306
117_at	0.221378426354967	0.231518508672865
121_at	0.534926487256564	0.699910683461601
1255_g_at	0	1.43164507168197
1294_at	0.140261312807926	-1.12070334534725
1316_at	2.65559356600763	1.63740724023622
1320_at	0	0
1405_i_at	-1.55390996323956	0
1431_at	0.129212022939909	-0.205070908892139
1438_at	-1.52146082865385	-4.78458581352057
1487_at	0.533036541893065	0.385715407357885
1494_f_at	-1.06357429023039	4.66273516980126
1552256_a_at	-0.298890700416033	-0.039898511841276
1552257_a_at	-0.0372872076811799	-0.00572461791416323
1552258_at	0.47897610335143	1.41229258976027
1552261_at	0	0
1552263_at	0.35147506348375	-0.959705768251497
1552264_a_at	-0.275914124927693	-0.343682965766579
1552266_at	3.90177945886634	1.30084311923387
1552269_at	0	0
1552271_at	0	0
1552272_a_at	0.412811279348774	1.74838368775087
1552274_at	-0.331878592178651	-0.00034185190965097
1552275_s_at	-0.289565499629955	-0.23038437300958
1552276_a_at	0	0
1552277_a_at	0.119182056870693	0.158748807742278
1552278_a_at	0	0
1552279_a_at	0.622955103577918	0.540888222507094
1552280_at	0	0
1552281_at	-4.93382718429818	0
1552283_s_at	-0.248346174003927	-0.580407435829507
1552286_at	0.362961401295173	-1.13266748672501
1552287_s_at	0.260574376208975	0.139631435117392
1552288_at	0	0
1552289_a_at	-3.07665342359154	0
1552291_at	1.06841066855783	1.18075139577605
1552293_at	0	0
1552295_a_at	-0.18943647962131	-0.0824494099856494
1552296_at	0	-0.205862061808293
1552299_at	-3.89829240249697	-1.54990457711697
1552301_a_at	0.371332539270484	-0.284009156928638
1552302_at	1.19482328666516	6.1344895339381
1552303_a_at	0.695681985629994	1.43373427001176
1552304_at	5.93651197112383	-1.21367905611303
1552306_at	0.39324739653977	-1.14735353462529
1552307_a_at	-4.64536051767305	0
1552309_a_at	0.412302462281096	0.64603038633052
1552310_at	0.232323166650705	0.514679978605997
1552311_a_at	0	0
1552312_a_at	0.116315396746296	-0.275834208786372
1552314_a_at	0.210534864587925	2.62100558092915
1552315_at	0	-2.98514673089869
1552316_a_at	0	-0.300889127906484
1552318_at	0.141404436990767	-1.31672684437535
1552319_a_at	0	0
1552320_a_at	0	-1.02193915966035
1552321_a_at	0	0
1552322_at	2.52577465115764	0
1552323_s_at	0.250825353068693	5.31357747233019
1552325_at	0	1.5250971066859
1552326_a_at	0	-1.45110955966957
1552327_at	1.0789884912491	0.113461878666975
1552329_at	0.437298475374966	0.539864232119104
1552330_at	0.203789734419221	0.046278858043669
1552332_at	0	0
1552334_at	-0.144738024844596	-2.57332939735907
1552335_at	0	0
1552337_s_at	0	0
1552338_at	0	0
1552340_at	0	0
1552343_s_at	0.39585995877623	0.460782203973324
1552344_s_at	0.537304394788515	0.1479098590783
1552347_at	0.0465393357304418	0.0186732479067242
1552348_at	-0.0602105245447468	0
1552349_a_at	-7.24769926415786	0
1552354_at	0	0
1552355_s_at	0	0
1552359_at	0	2.47665676905479
1552360_a_at	0.381685518817632	1.82730683680848
1552362_a_at	-0.137087827660213	0.157918210327935
1552364_s_at	0.247653931040767	1.62213725257299
1552365_at	2.58413180500003	0.472301787261219
1552367_a_at	0	0.0947462586556882
1552368_at	0.701975901220736	1.21114670346464
1552370_at	-0.471597226127688	-0.515255507738196
1552372_at	0	0
1552373_s_at	1.13368019695283	-0.0701751624402254
1552375_at	1.83869656560966	0.253701269883911
1552377_s_at	-2.37116277298891	0
1552378_s_at	0.0713762266314237	0
1552379_at	0.984170207553274	0
1552381_at	0	1.77752365310796
1552383_at	0	0
1552384_a_at	0	0
1552386_at	0	1.31019454235462
1552388_at	0	0
1552389_at	-2.49701719390592	0
1552390_a_at	0	2.72133081041107
1552391_at	0	0
1552393_at	0	0
1552394_a_at	0	-1.22328319517102
1552395_at	0	0
1552396_at	0	0
1552398_a_at	0	0
1552399_a_at	-4.07624450200774	0.157677510940622
1552400_a_at	-1.25992142658128	-0.367294638846152
1552401_a_at	-1.24189567786061	-1.06715482226419
1552402_at	0	0
1552405_at	0	0
1552408_at	0	0
1552409_a_at	0	0
1552410_at	-2.28946893170635	0
1552411_at	0	0
1552412_a_at	0	0
1552414_at	0	1.40522176607648
