D0	D8	N
1007_s_at	0.200007565248159	1.26859904334981	1.26859904334981
1053_at	-0.275992518475739	-0.250955716554685	-0.250955716554685
117_at	-1.99387858698098	-1.68669888503676	-1.68669888503676
121_at	-1.62356950619521	-1.03832849829627	-1.03832849829627
1294_at	0.937721690739899	1.22907830719717	1.22907830719717
1316_at	0.447288459012288	0.228250249422255	0.228250249422255
1405_i_at	0.226449964844797	-0.14416658069854	-0.14416658069854
1431_at	-1.51740590346475	-1.65444654889486	-1.65444654889486
1487_at	-2.36444642872216	-1.31965737792144	-1.31965737792144
1494_f_at	-3.15867128180663	-0.984216932501454	-0.984216932501454
1598_g_at	0.857800072243179	0.88723644196521	0.88723644196521
160020_at	-2.2987494474349	-2.4195818869903	-2.4195818869903
1729_at	0.681206151908151	0.478848341397835	0.478848341397835
177_at	-1.06138814228184	-1.81894488877264	-1.81894488877264
1773_at	-2.97793772812728	-4.27189801619374	-4.27189801619374
1861_at	-0.763365540421325	-0.293472459824105	-0.293472459824105
200000_s_at	-0.138212292663086	-0.157008462131055	-0.157008462131055
200001_at	-0.451695848091241	-0.317286906609878	-0.317286906609878
200002_at	0.0975924892546285	-0.0353378382859173	-0.0353378382859173
200003_s_at	0.0271923125218425	0.0107711994399367	0.0107711994399367
200004_at	-0.367755646101921	-0.1920417369227	-0.1920417369227
200005_at	-0.619500289352082	-0.713210601294255	-0.713210601294255
200006_at	0.389261379099823	0.0926963453793892	0.0926963453793892
200007_at	0.208734454369882	0.393720421679514	0.393720421679514
200008_s_at	-2.25206312082537	-1.86103149256684	-1.86103149256684
200009_at	-0.529129572057663	-0.370745099247189	-0.370745099247189
200010_at	-0.00959838500816979	-0.171543758111207	-0.171543758111207
200011_s_at	0.270075782663687	0.122842154569614	0.122842154569614
200012_x_at	0.331677496495558	0.321522024841043	0.321522024841043
200013_at	-0.72149565141541	-0.80244533068589	-0.80244533068589
200014_s_at	-0.045473118574181	-0.126387016894643	-0.126387016894643
200015_s_at	0.282976556521547	0.548371715886695	0.548371715886695
