D0	D33
1007_s_at	-0.515837149231894	-0.515837149231894
1053_at	0.384092550739123	0.384092550739123
117_at	-3.16328779805566	-3.16328779805566
121_at	-0.643750803683742	-0.643750803683742
1294_at	-0.725104089221983	-0.725104089221983
1316_at	-0.335329232422253	-0.335329232422253
1405_i_at	-0.239122033301605	-0.239122033301605
1431_at	1.82195658070596	1.82195658070596
1487_at	-2.5709603142582	-2.5709603142582
1494_f_at	1.00148461818685	1.00148461818685
1598_g_at	-2.29757419232489	-2.29757419232489
160020_at	1.23288565656687	1.23288565656687
1729_at	-0.381770185770898	-0.381770185770898
177_at	-2.0133301839305	-2.0133301839305
1773_at	-2.97793772812728	-2.97793772812728
1861_at	0.55203262894096	0.55203262894096
200000_s_at	-0.138516883603726	-0.138516883603726
200001_at	-0.313189738205303	-0.313189738205303
200002_at	0.0102438707314612	0.0102438707314612
200003_s_at	-0.149820034405503	-0.149820034405503
200004_at	-0.107705071394241	-0.107705071394241
200005_at	0.119468182330616	0.119468182330616
200006_at	0.314922350073195	0.314922350073195
200007_at	-0.136629348736159	-0.136629348736159
200008_s_at	-0.349860975731481	-0.349860975731481
200009_at	-0.377569226954424	-0.377569226954424
200010_at	0.086613091681512	0.086613091681512
200011_s_at	-0.455483999540586	-0.455483999540586
200012_x_at	-0.0479917259672398	-0.0479917259672398
200013_at	0.087868643622242	0.087868643622242
200014_s_at	0.0533247652696485	0.0533247652696485
200015_s_at	0.593083351247678	0.593083351247678
200016_x_at	0.0679591221769336	0.0679591221769336
200017_at	0.0961648253118792	0.0961648253118792
200018_at	0.153885059327349	0.153885059327349
200019_s_at	-0.242975022816887	-0.242975022816887
200020_at	0.4001322092906	0.4001322092906
200021_at	-0.328557410089148	-0.328557410089148
200022_at	0.0549152385584257	0.0549152385584257
200023_s_at	0.0158614206572825	0.0158614206572825
200024_at	0.0876001352131777	0.0876001352131777
200025_s_at	0.0868449452210225	0.0868449452210225
200026_at	-0.334673522849824	-0.334673522849824
200027_at	0.194442477911119	0.194442477911119
200028_s_at	0.573943386204952	0.573943386204952
200029_at	0.0455948447239845	0.0455948447239845
200030_s_at	0.179313157713834	0.179313157713834
200031_s_at	-0.0768700484645848	-0.0768700484645848
200032_s_at	-0.0299578557175497	-0.0299578557175497
200033_at	-0.088310157607749	-0.088310157607749
200034_s_at	0.237392957899404	0.237392957899404
200035_at	-0.486845120349003	-0.486845120349003
200036_s_at	0.189935268551579	0.189935268551579
200037_s_at	0.897971888751616	0.897971888751616
200038_s_at	-0.121039547045743	-0.121039547045743
200039_s_at	0.211297130888017	0.211297130888017
200040_at	0.321159992908942	0.321159992908942
200041_s_at	0.237892788153056	0.237892788153056
200042_at	0.116908051213123	0.116908051213123
200043_at	0.152336008388758	0.152336008388758
200044_at	0.0654907505909854	0.0654907505909854
200045_at	0.0107409759723218	0.0107409759723218
200046_at	-0.832036117189022	-0.832036117189022
200047_s_at	0.234528798563801	0.234528798563801
200048_s_at	0.0250134466957181	0.0250134466957181
200049_at	-0.649746409958546	-0.649746409958546
200050_at	0.74313947387401	0.74313947387401
200051_at	0.710822903102301	0.710822903102301
200052_s_at	-0.104807301141046	-0.104807301141046
200053_at	0.117566676460626	0.117566676460626
200054_at	0.0211565306567696	0.0211565306567696
200055_at	-0.36957898549627	-0.36957898549627
200056_s_at	0.243447334909277	0.243447334909277
200057_s_at	-0.265371811792605	-0.265371811792605
200058_s_at	-0.220152578107717	-0.220152578107717
200059_s_at	-0.423010612289483	-0.423010612289483
200060_s_at	-0.174588354000246	-0.174588354000246
200061_s_at	-0.0555794806019332	-0.0555794806019332
200062_s_at	-0.0338729047767288	-0.0338729047767288
200063_s_at	0.227058874266669	0.227058874266669
200064_at	0.00777913035916811	0.00777913035916811
200065_s_at	-0.625812149859884	-0.625812149859884
200066_at	-0.0202476375833047	-0.0202476375833047
200067_x_at	-0.530840685056935	-0.530840685056935
200068_s_at	-0.264713365283034	-0.264713365283034
200069_at	0.335310880767297	0.335310880767297
200070_at	0.176019978345709	0.176019978345709
200071_at	-0.0575573658562387	-0.0575573658562387
200072_s_at	-0.220336695130777	-0.220336695130777
200073_s_at	0.237970413673498	0.237970413673498
200074_s_at	0.347567377816292	0.347567377816292
200075_s_at	0.0638703597072112	0.0638703597072112
200076_s_at	-0.551136677670756	-0.551136677670756
200077_s_at	-0.192516631653563	-0.192516631653563
200078_s_at	-0.486214131371492	-0.486214131371492
200079_s_at	0.064844515147664	0.064844515147664
200080_s_at	0.0872474334594315	0.0872474334594315
200081_s_at	-0.169983518806296	-0.169983518806296
200082_s_at	0.0509969471481444	0.0509969471481444
200083_at	-0.213206685094166	-0.213206685094166
200084_at	0.266331373061922	0.266331373061922
200085_s_at	-0.242105985926862	-0.242105985926862
200086_s_at	0.200015306291501	0.200015306291501
200087_s_at	-0.00308156733678722	-0.00308156733678722
200088_x_at	0.0259507275175324	0.0259507275175324
200089_s_at	0.247512546509139	0.247512546509139
200090_at	0.101794315197013	0.101794315197013
200091_s_at	0.332118377275611	0.332118377275611
200092_s_at	0.0399053425210294	0.0399053425210294
200093_s_at	0.201355251195579	0.201355251195579
200094_s_at	0.401482555084073	0.401482555084073
200095_x_at	-0.0409122861072149	-0.0409122861072149
200096_s_at	-0.794267956661926	-0.794267956661926
200097_s_at	0.364866926524419	0.364866926524419
200098_s_at	0.255767611621549	0.255767611621549
200099_s_at	0.0205061074667832	0.0205061074667832
200593_s_at	-0.0530143962877485	-0.0530143962877485
200594_x_at	0.0879182127707807	0.0879182127707807
200595_s_at	0.715215464090244	0.715215464090244
200596_s_at	0.126779528062299	0.126779528062299
200597_at	0.707628676065733	0.707628676065733
