A	B
1007_s_at	897.269861955132	657.450693025889
1053_at	-60.1011842081734	20.3629839626067
117_at	21.896701144542	32.7569934110985
121_at	213.539129819857	266.684212993385
1255_g_at	0	28.5673887161388
1294_at	36.3393590909367	24.1555287070506
1316_at	116.184974782878	333.812682666024
1320_at	0	0
1405_i_at	-39.4325201295462	0
1431_at	5.79472911479237	-41.3561091425101
1438_at	-38.999292546624	-151.129951093148
1487_at	407.896971730993	235.043305205055
1494_f_at	7.1660017845261	131.164005158192
1552256_a_at	-701.632706765559	-28.9527182090408
1552257_a_at	-39.7172548996004	-0.397123095258053
1552258_at	69.309996597381	26.7141989826726
1552261_at	0	0
1552263_at	96.647599632112	2.38286196925909
1552264_a_at	-217.533729712392	-226.280507592193
1552266_at	55.2065947499119	18.1549053208038
1552269_at	0	0
1552271_at	0	0
1552272_a_at	44.0365331775126	59.4476165862459
1552274_at	-78.1060567122879	0.281077693207862
1552275_s_at	-78.5382653424727	-249.096755093972
1552276_a_at	0	0
1552277_a_at	116.054242093066	62.7193073466024
1552278_a_at	0	0
1552279_a_at	136.074137244069	160.074364046317
1552280_at	0	0
1552281_at	-179.235397626013	0
1552283_s_at	-68.9648417022582	-592.969565854717
1552286_at	82.5343369059511	32.754227252349
1552287_s_at	173.426477117878	51.6265346030054
1552288_at	0	0
1552289_a_at	-83.1245205638681	0
1552291_at	366.968245115358	402.67978999973
1552293_at	0	0
1552295_a_at	-85.1519478308124	-39.5267070818433
1552296_at	0	-23.1286740012738
1552299_at	-54.214903039466	-37.1202733402178
1552301_a_at	47.5817009422653	-139.565719776181
1552302_at	166.311419840402	73.3749040465278
1552303_a_at	115.956899899265	28.7749846805409
1552304_at	120.791755348072	-13.4214364901911
1552306_at	35.0491657034745	-10.6652034239918
1552307_a_at	-128.648566415005	0
1552309_a_at	129.175274038804	84.3046410649321
1552310_at	131.247467502776	178.413939967742
1552311_a_at	0	0
1552312_a_at	19.4843066681876	-45.8294105340251
1552314_a_at	34.1229641735825	37.5690358207341
1552315_at	0	-68.9889446139051
1552316_a_at	0	-38.04765801074
1552318_at	7.47832972691337	-19.1823308346534
1552319_a_at	0	0
1552320_a_at	0	-6.90560446817413
1552321_a_at	0	0
1552322_at	32.2292355000717	0
1552323_s_at	21.5334854298379	81.8982684765962
1552325_at	0	30.8877861292108
1552326_a_at	0	-30.560996978513
1552327_at	8.41529800359185	20.8971622984193
1552329_at	134.847893189198	138.957378071568
1552330_at	82.7048563362395	12.5778716274209
1552332_at	0	0
1552334_at	-37.0842330804178	-36.7561929309854
1552335_at	0	0
1552337_s_at	0	0
1552338_at	0	0
1552340_at	0	0
1552343_s_at	70.8325450916297	48.4469207508424
1552344_s_at	167.362042169627	48.4376225517944
1552347_at	29.3114918533986	9.78342594229491
1552348_at	-18.0367283457705	0
1552349_a_at	-152.495752113528	0
1552354_at	0	0
1552355_s_at	0	0
1552359_at	0	30.8624700501744
1552360_a_at	30.4170789355625	54.372551385576
1552362_a_at	-97.7989974824717	40.9333298517959
1552364_s_at	33.3712885431182	43.2781047533166
1552365_at	34.4596565124277	58.748129891236
1552367_a_at	0	6.39342549208866
1552368_at	386.000761579289	13.3041591092107
1552370_at	-123.219957476978	-137.290732572205
1552372_at	0	0
1552373_s_at	10.1715870341195	-3.20874627577139
1552375_at	63.364083240409	24.4148213167512
1552377_s_at	59.5966364476759	0
1552378_s_at	5.18471876603984	0
1552379_at	6.05834166716827	0
1552381_at	0	76.9366672382777
1552383_at	0	0
1552384_a_at	0	0
1552386_at	0	18.7529364844237
1552388_at	0	0
1552389_at	-30.71911361335	0
1552390_a_at	0	42.6261369598396
1552391_at	0	0
1552393_at	0	0
1552394_a_at	0	-13.8756926119035
1552395_at	0	0
1552396_at	0	0
1552398_a_at	0	0
1552399_a_at	-67.4758500915999	20.480792824303
1552400_a_at	-19.4127405625319	-189.541453057099
1552401_a_at	-14.8002567095456	-8.07714823428159
1552402_at	0	0
1552405_at	0	0
1552408_at	0	0
1552409_a_at	0	0
1552410_at	-17.5254823759783	0
1552411_at	0	0
1552412_a_at	0	0
1552414_at	0	26.0675074545546
1552415_a_at	0	0
1552417_a_at	157.44931168723	0
1552418_at	0	0
1552419_s_at	0	-38.5273529085655
1552421_a_at	0	0
1552422_at	-191.568920453501	0
1552423_at	26.3801187614665	38.9985211403687
1552424_at	0	0
1552425_a_at	-9.39490841036337	0
1552426_a_at	737.290974748744	1809.6787927887
1552427_at	66.3880635606475	-0.0123544758716108
1552430_at	42.909607360874	245.214408543781
1552432_at	0	0
1552436_a_at	0	0
1552438_a_at	0	0
1552439_s_at	0	-8.49165007951706
1552440_at	0	25.2122629581259
1552445_a_at	99.8779714226747	13.5835792481952
1552448_a_at	0	0
1552449_a_at	0	0
1552450_a_at	0	0
1552452_at	0	0
1552453_a_at	0	0
1552455_at	-18.0927764881171	-47.5469128984294
1552456_a_at	0	0
1552457_a_at	0	-12.2733364838433
1552458_at	0	-14.1420729796724
1552459_a_at	0	0
1552461_at	0	0
1552463_at	9.45676620747117	7.0249203565906
1552466_x_at	0	0
1552467_at	0	0
1552468_a_at	0	0
1552470_a_at	-118.557881289052	0
1552472_a_at	126.538395689986	0
1552473_at	0	0
1552474_a_at	-172.335630860555	-294.444789432221
1552476_s_at	-117.951462077761	0
1552477_a_at	0	-14.3663886278957
1552478_a_at	0	113.036151391966
1552480_s_at	0	0
1552481_s_at	65.6818738712523	54.4345821888126
1552482_at	55.3192879584709	41.047811483319
1552484_at	0	0
1552485_at	-49.1770089600495	19.5513869243797
1552486_s_at	67.9156065466153	28.1296545040885
1552487_a_at	0	0
1552489_s_at	-8.35297826632451	4.52711049588741
1552490_at	28.4944913689919	29.6480376687401
1552491_at	0	0
1552493_s_at	0	0
1552494_at	0	0
1552496_a_at	-61.1703899109282	-275.321759968325
1552497_a_at	7.74019854236069	223.321967591847
1552498_at	0	0
1552499_a_at	-10.0741536199736	0
1552501_a_at	0	0
1552502_s_at	6.26228252639795	-3.90875365803689
1552503_at	0	0
1552504_a_at	0	540.289320166492
1552506_at	0	93.9410715189589
1552507_at	119.765450023487	0
1552508_at	50.6267760607113	-27.8033808241786
1552509_a_at	14.4327294093814	-9.20952609811205
1552510_at	0	0
1552511_a_at	0	0
1552514_at	0	-53.2219629221331
1552515_at	0	0
1552516_a_at	-105.355832049582	-165.999430913683
1552518_s_at	0	0
1552519_at	14.7953615913311	10.7626377893446
1552520_at	10.3957077712241	104.278745663809
1552521_a_at	-7.38734533449773	94.1002436119339
1552522_at	0	25.5079835202846
1552523_a_at	15.5978196369812	11.6823028211612
1552524_at	0	0
1552526_at	0	0
1552528_at	0	0
1552531_a_at	-25.2456731791654	0
1552532_a_at	0	0
1552535_at	0	0
1552536_at	12.1235306241067	84.0651276717343
1552538_a_at	0	20.7416571749008
1552540_s_at	0	0
1552541_at	0	0
1552542_s_at	0	0
1552543_a_at	24.5691828495949	0
1552544_at	39.5860506453201	0
1552546_a_at	61.2011277128174	-8.0962725359434
1552548_at	0	0
1552549_a_at	0	0
1552552_s_at	0	-9.39156018261982
1552553_a_at	0	0
1552554_a_at	0	-10.7080920904095
1552555_at	-66.6738506065647	0
1552557_a_at	54.2826868296131	110.460624017447
1552558_a_at	107.745957155239	178.119154351661
1552559_a_at	0	0
1552562_at	-39.3456328139819	93.3145363234013
1552563_a_at	0	-8.20223729734361
1552564_at	16.245035416256	51.7847100800941
1552566_at	0	0
1552568_at	0	0
1552569_a_at	0	0
1552570_at	0	0
1552572_a_at	21.6566837604734	17.2578297375422
1552573_s_at	27.2612932136818	0
1552575_a_at	68.518604707869	0
1552576_at	0	0
1552578_a_at	0	-8.6770622587558
1552579_a_at	29.0009691043066	-15.6554481338299
1552580_at	-130.573205834078	0
1552582_at	0	0
1552583_s_at	0	0
1552584_at	17.2863483496261	0
1552585_s_at	0	0
1552586_at	0	60.9585646219
1552587_at	30.5461469891849	34.7848787076706
1552588_a_at	0	0
1552590_a_at	0	0
1552592_at	0	0
1552594_at	0	0
1552596_at	0	0
1552598_at	0	0
1552599_at	18.3287600774826	47.3089099402926
1552602_at	22.5531448615466	38.8923540876308
1552604_at	0	0
1552605_s_at	0	0
1552607_at	-57.4997223326058	-18.6606002106744
1552608_at	0	0
1552609_s_at	29.9727331524654	0
1552610_a_at	-357.958769303746	-586.01532811618
1552611_a_at	78.1920524444653	450.689409393817
1552612_at	14.6365147581027	-32.4148379067342
1552613_s_at	5.49867147089708	-250.147497314363
1552615_at	0	361.398116967198
1552616_a_at	0	0
1552617_a_at	-89.4050579981181	-107.657922008045
1552618_at	-60.5892408507881	-130.808891994624
1552619_a_at	694.291406274783	174.319255625798
1552620_at	0	0
1552621_at	-86.2120898908665	269.377554398467
1552622_s_at	201.625704961345	377.328865926649
1552623_at	-57.3436093819497	0
1552625_a_at	14.0022253194509	97.6271168645651
1552626_a_at	0	44.8029943174308
1552627_a_at	107.762892486787	399.107873647006
1552628_a_at	110.743962191729	157.84385458808
1552629_a_at	0	-25.5768971322565
1552630_a_at	0	0
1552631_a_at	-44.8220202375084	-7.69625081826302
1552632_a_at	-25.8263066560851	18.7452779423672
1552633_at	174.156852992344	-15.4153147622459
1552634_a_at	-10.259831128063	-15.6922057954112
1552637_at	0	0
1552639_at	0	0
1552641_s_at	-201.643424043174	0
1552643_at	0	0
1552644_a_at	44.7463436133763	36.5495412166408
1552646_at	-40.9865007513522	-18.7804863790288
1552648_a_at	117.181626372937	0
1552649_a_at	-26.6004224685416	-48.1109285127079
1552651_a_at	0	0
1552652_at	45.015551514481	5.69045006378445
1552656_s_at	-54.6199964176352	-22.4580603509471
1552657_a_at	0	0
1552658_a_at	56.7342234706776	-94.0710497983889
1552660_a_at	-43.8370595182591	-88.1915713328885
1552661_at	0	0
1552662_a_at	0	0
1552663_a_at	-117.161678477823	-65.120485176623
1552664_at	100.965344827541	121.597558179354
1552665_at	-56.1311316357983	-19.7849725243994
1552666_a_at	0	66.2658826627495
1552667_a_at	0	-67.9124497639826
1552669_at	63.4448810335756	0
1552670_a_at	81.3980398016263	-14.7379361101638
1552671_a_at	-38.4709520599943	-15.7429687680134
1552672_a_at	0	0
1552673_at	0	0
1552674_at	0	0
1552675_at	-4.66132616332072	0
1552676_at	0	0
1552677_a_at	161.892670223206	0
1552678_a_at	-156.68841522695	14.9969349899405
1552680_a_at	295.140822920623	0
1552682_a_at	-5.68992424189517	-15.0996031960683
1552684_a_at	101.928509575497	10.1472601298861
1552685_a_at	166.421577320833	0
1552686_at	0	0
1552687_a_at	0	0
1552689_at	0	-452.491344883585
1552690_a_at	-69.6196093542852	25.2674293790612
1552691_at	-1.31949898409418	-6.12679963544745
1552693_at	0	0
1552694_at	46.0039119239673	41.1187482816703
1552695_a_at	95.773333380476	228.517578678969
1552696_at	15.1221149396904	15.4825882192964
1552698_at	54.8084022109938	152.013359469575
1552701_a_at	-65.4597411779763	-80.1879254778241
1552703_s_at	191.569684323767	93.915110080288
1552705_at	63.0198001935874	129.648943232175
1552708_a_at	4.22204020240944	0
1552711_a_at	-100.22079786217	-113.734397023474
1552712_a_at	0	372.294979373208
1552713_a_at	-29.0846230923702	0
1552714_at	-6.49173934021182	480.002276930007
1552715_a_at	0	-71.570266398076
1552716_at	-18.6234382117185	52.1734277508588
1552717_s_at	48.5502416550001	106.669103623875
1552718_at	0	0
1552719_at	-147.661909042953	-84.4142144137661
1552721_a_at	0	349.104208042514
1552722_at	0	228.86239031624
1552724_at	77.2300744449954	130.80647320127
1552725_s_at	0	-14.7306339018127
1552726_at	-29.9900198735867	0
1552727_s_at	112.025866840315	69.6992440081538
1552729_at	-230.088076014821	-52.3369238938172
1552730_at	0	0
1552731_at	0	0
1552732_at	23.3192829030998	88.1737027161336
1552733_at	71.9255063564319	292.161133644995
1552734_at	87.8145959775602	60.3910198971064
1552735_at	49.864940411027	73.8769196828536
1552736_a_at	41.0901742010805	72.751050494478
1552737_s_at	-191.998101617752	-171.034536658817
1552738_a_at	-33.7399785638816	26.3970514928859
1552739_s_at	44.9487008756716	3.46388283079361
1552740_at	0	0
1552742_at	0	27.2213775938618
1552743_at	0	0
1552745_at	-8.72964047538198	0
1552747_a_at	-6.08385031576201	0
1552749_a_at	0	0
1552750_at	0	0
1552751_a_at	0	0
1552752_a_at	15.8570160878934	-256.769493023553
1552754_a_at	0	-5.96186043439911
1552755_at	0	0
1552757_s_at	0	0
1552758_at	0	0
1552760_at	0	102.058179309933
1552761_at	0	0
1552763_at	0	0
1552765_x_at	31.2811356345213	0
1552766_at	63.2639370940362	60.9031043550461
1552767_a_at	334.648434029326	427.419202467271
1552768_at	0	0
1552769_at	19.7003789801625	-19.6798786806283
1552770_s_at	61.8259869302266	61.2711762075044
1552771_a_at	0	0
1552772_at	0	-8.59699853703833
1552773_at	12.9366511891302	10.795002232938
1552774_a_at	-53.3677902371182	57.2340461930045
1552775_at	0	0
1552777_a_at	0	0
1552779_a_at	6.5450324532124	23.5133104543979
1552782_at	77.8770446670284	124.498651443473
1552783_at	0	-11.0378095329636
1552785_at	46.6479059113678	53.2526044446322
1552787_at	223.1304659047	0
1552788_a_at	85.9766637657656	-14.4755437268034
1552789_at	77.0048402393468	305.830573473963
1552790_a_at	-14.1641693038899	-624.522025950586
1552791_a_at	0	0
1552792_at	-5.61037015190571	-33.9510533721181
1552793_at	0	0
1552794_a_at	0	100.74778199033
1552796_a_at	0	0
1552797_s_at	2.60338872753998	8.67854691401261
1552798_a_at	0	-57.9312062412456
1552799_at	0	0
1552800_at	0	0
1552801_at	0	0
1552803_a_at	0	-15.8551029311543
1552804_a_at	0	0
1552806_a_at	0	0
1552807_a_at	0	-90.5244429883818
1552808_at	0	0
1552809_at	0	0
1552811_at	0	0
1552812_a_at	97.7124068408324	-14.1670173969692
1552813_at	0	0
1552814_a_at	0	0
1552816_at	1.13428874217117	3.27780024972602
1552818_a_at	0	0
1552819_at	37.0069757799299	27.7081220116426
1552822_at	43.7804520230856	18.1185849189651
1552825_at	-5.29156031632318	-8.87434896417043
1552826_at	0	0
1552827_s_at	0	0
1552828_at	0	0
1552829_at	65.8300766752433	94.4910483732867
1552830_at	0	0
