Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
P001_D0	0.00964029092107935	0	0.003103289143543967	0	0.6905769492891395	0.03896895177071045	0.026532084205352992	0.10119557241149399	0	0	0.015640174155449715	0	0.0669490904590611	0.02010187319728572	0	0	0.012003095631227437	0	0.003975648104491295	0.004381311497992122	0	0.006931669213172414	0	0.6500543124877142	0.7603135150099455
P004_D0	0.06719545820372241	0.0356861100599002	0.010709332891151288	0.22149979944188838	0.24584758307568458	0	0.022736062269234823	0.054557560762485816	0	0	0.025439069891095168	0.02418548096005963	0.1940322324712758	0.018370481905957678	0	0	0.0049891260902622065	0.002785631867993535	0.02192843307735543	0	0.0383854955772548	0.011652141454678208	0	0.47594629723616627	0.8788761542164621
P005_D0	0.017288380982850786	0	0.06614707513354513	0	0.2790578578073027	0.01750029622411614	0.022186200558016476	0.0653871821854228	0	0.23515487887380582	0.025291650868203338	0	0.12007206964892543	0.018250891996564107	0	0	0.0185612585198103	0	0.08280090230891554	0	0.032301354892521505	0	0	0.44734939154881265	0.8941406547886886
P007_D0	0	0	0.01764325377538441	0	0.5024633267944416	0	0.0269237532195348	0.14702191003678297	0	0	0.17503176540272064	0	0.08998049878153115	0.008288389252556894	0	0	0	0.0011865712595877272	0.002247854483302836	0	0.013312694746763791	0.01589998224739309	0	0.611828867098278	0.7911155622568141
P008_D0	0	0.06571825545600005	0.04723783804346932	0	0.5944931766985471	0.07688728164177462	0	0.014484953254690038	0	0	0.02513012186271298	0.0450452125673926	0.027152669768038665	0.016157888604888003	0.005826614629108423	0	0.04776361340608894	0	0.034102374067289346	0	0	0	0	0.4651177006260626	0.8918337323194917
P009_D0	0.0050044346722589615	0	0.030597796128787137	0.1352551327627864	0.003898045242100702	0	0.05128932996774083	0.028166652424062678	0	0.11350551448134821	0.038973440345888184	0.008705002419203795	0.4272095204675862	0.021143846624472145	0	0	0	0	0.02915066260636001	0.009053337019618968	0.03109244433985844	0.06695484049792737	0	0.4265363225462808	0.9065501286321563
P010_D0	0	0.0291644366709928	0.03923700872007288	0.020500059591136235	0.40180761671938203	0.05359722205260579	0.02354844948660262	0.19153225608029537	0.006106153087150684	0	0.06552088393094435	0.01516437265709516	0.13446028901649107	0	0	0	0	0.002518119053807298	0.013226672397058546	0.0001	0.003564639478920415	0	0	0.5966369974790039	0.8029920485354467
P011_D0	0	0.03205640974545902	0.03622836880328322	0.02301130768800462	0.3857864178020206	0.012475766467120345	0.03000454148826053	0.17312373173591714	0.03551573057495143	0	0.09054602923267549	0	0.06167771408388761	0	0.002020351829468689	0	0.08834312155106841	0	0	0.029210508997882818	0	0	0	0.5509363871446115	0.8344062136435473
P012_D0	0	0.05234004982855326	0.14019354780667773	0.038097878529505094	0.3681461040142753	0	0	0.16876895156212782	0	0.05303124662677124	0.04575306808221954	0	0.013973485445315634	0.027717980571179683	0	0.020640439320635997	0	0.014844885867528705	0.03398706559656069	0.005539333831175964	0.01696596291747334	0	0	0.46043508458388455	0.8904812664863946
P013_D0	0.3522233015220846	0.07099955400463728	0	0.015840048490673893	0.3241239632581781	0.015444677135062163	0	0	0	0	0.0095532712512969	0.0338240405842931	0.04707139408284525	0.014016046070806708	0	0.008080644240313703	0	0.0063363433766608435	0.03914522214101699	0	0.06334149384213045	0	0.01	0.32802339080043696	0.9744911775858783
