Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
P001_D0	0	0	0.013291623307947765	0	0.6999069883118838	0.046483304457896675	0.02153753056379425	0.09434447568008053	0	0	0.012930505623191955	0	0.06435281689544065	0.019592198633711862	0	0	0.012370942985745762	0	0.004021347464935185	0.004609381463022093	0	0.006558884612349383	0	0.6354473779772044	0.7729603418460707
P004_D0	0.08126549022540762	0.026049262328459413	0.01457382665526453	0.2119915317739011	0.20345038523085307	0	0.015108119264967985	0.08058626014303394	0	0	0.03531155430029973	0.01663705397459346	0.1967174449425072	0.01544172790295953	0	0	0.0045779365597711	0.0020505546160928907	0.03280900497852572	0	0.050592444264953955	0.012837402838408736	0	0.4831827472194277	0.8748668567614604
P005_D0	0.04854520838921136	0	0.06504723864997093	0	0.23711961024476777	0	0.01614345474369156	0.08331118369793991	0	0.23204382174035412	0	0	0.10033564271289747	0.020270848194686844	0	0	0.014523615382537474	0	0.1361281586253575	0	0.026930282577162373	0.01960093504142276	0	0.4479328242090457	0.8933939602982159
P007_D0	0	0	0.020107781251969936	0	0.525166071085377	0	0.03172784670518345	0.10859049585364594	0	0	0.1713090205068291	0	0.09237636106697746	0.006225841483962836	0	0	0.0005	0.001206710253862652	0.0032871857962335554	0	0.01592061377477227	0.023625491700630583	0	0.6005694680237883	0.7996163888504579
P008_D0	0	0.05706827534200635	0.057092084950731876	0	0.6333971894769642	0.06747172345499418	0	0	0	0	0.03429467943672502	0.03988738344781096	0.020887342380085078	0.015328585981907868	0.005136641807601131	0	0.03652112342390886	0	0.032914970297264375	0	0	0	0	0.47104421570688587	0.8897284297072913
P009_D0	0	0	0.02015556133162144	0.16810638721476073	0	0	0.05003837248227201	0.046322455815840026	0	0.1371425334294116	0.010010904541170818	0	0.37011693399852014	0.04498774346196127	0	0	0.01999827393124486	0	0.01771592730647194	0.006010698284652715	0.060400359523730796	0.04899384867834167	0	0.4255500045221843	0.9056677451467882
P010_D0	0	0.011226445385101846	0.04101105464898138	0.06755246739308463	0.3852393461174224	0.0108815181116944	0.009224233192208277	0.23824646823186973	0.008788096893961329	0	0.036563008039518945	0.03676334456556592	0.1287014604786304	0	0	0	0	0.003118468796846961	0.012180979208291776	0.0028734070588108747	0.006393762151773309	0.0012359397262378634	0	0.5735885032572263	0.8187081660803007
P011_D0	0	0.04687242279621741	0.0287099682762899	0	0.45396447259528633	0.0812020694361915	0.030779540060549695	0.05713510029045842	0.022889460489697106	0	0.11347030979840331	0	0.04754223930514113	0	0.004110273961874332	0	0.07351211117453502	0	0	0.039812031815355746	0	0	0	0.4500324412140344	0.8964489416668469
P012_D0	0	0.0456780875234092	0.1379628146310292	0.038486586627259414	0.37101576217131577	0	0	0.15854151634132677	0	0.047721625213781045	0.0653857602139842	0	0.013622376617954329	0.03560033466286263	0	0.023804098355628498	0	0.01596364183171964	0.03482339623418538	0.0023592182108349955	0.00903478136470897	0	0	0.3932458168651249	0.9294813398257097
P013_D0	0.4020648716913868	0.06987539063437134	0	0.015760279475984153	0.28086950780027387	0.014285740049891024	0	0	0	0	0.015025203609673196	0.029521363895406695	0.045516126811325865	0.013940152697342533	0	0.008636900092666489	0	0.0011211205802115626	0.036192273978059394	0	0.06719106868340703	0	0.01	0.29194337518472424	1.0020994599187494
P014_D0	0.3886646898568738	0	0.0695705906829198	0.10259260048545997	0.06987579147266237	0.07930251064154814	0.002334304843723564	0	0	0	0.06264148786254346	0.016609232874859776	0.07862487281815872	0.03026189985990931	0	0.012259741125618543	0	0.002610647528703863	0.03451159856334645	0	0.03197572191329759	0.018164309470374625	0	0.4754993810336143	0.882999575696083
