gene_synonym	gene_name
FAM132A	C1QTNF12
CPSF3L	INTS11
GLTPD1	CPTP
C1orf233	FNDC10
KIAA1751	CFAP74
C1orf86	FAAP20
LINC00982	PRDM16-DT
C1orf200	PIK3CD-AS1
APITD1-CORT	CENPS-CORT
PTCHD2	DISP3
C1orf64	SRARP
RSG1	CPLANE2
PQLC2	SLC66A1
MINOS1	MICOS10
MINOS1-NBL1	MICOS10-NBL1
C1orf234	TEX46
TCEB3	ELOA
TCEB3-AS1	ELOA-AS1
TMEM57	MACO1
SEPN1	SELENON
AIM1L	CRYBG2
FAM46B	TENT5B
SNORD85	SNORD103C
LINC01225	LDC1P
BAI2	ADGRB2
YARS	YARS1
ZMYM6NB	TMEM35B
UTP11L	UTP11
LEPRE1	P3H1
CCDC23	SVBP
WDR65	CFAP57
C1orf228	ARMH1
CCDC163P	CCDC163
SKINTL	SKINT1L
NRD1	NRDC
ZCCHC11	TUT4
FAM159A	SHISAL2A
C1orf123	CZIB
C1orf177	LEXM
PPAP2B	PLPP3
C1orf168	FYB2
INADL	PATJ
FAM73A	MIGA1
ELTD1	ADGRL4
LPHN2	ADGRL2
C1orf180	LINC01555
CYR61	CCN1
SEP15	SELENOF
CCBL2	KYAT3
FAM69A	DIPK1A
LINC01057	SLC44A3-AS1
TMEM56	TLCD4
TMEM56-RWDD3	TLCD4-RWDD3
LPPR5	PLPPR5
LPPR4	PLPPR4
HIAT1	MFSD14A
KCNC4-AS1	LINC02586
ATP5F1	ATP5PB
FAM212B	INKA2
FAM212B-AS1	INKA2-AS1
FAM19A3	TAFA3
FAM46C	TENT5C
HIST2H2BA	H2BP1
PPIAL4B	PPIAL4A
HFE2	HJV
PDZK1P2	PDZK1P1
FCGR1C	FCGR1CP
HIST2H2BF	H2BC18
HIST2H3D	H3C13
HIST2H4A	H4C14
HIST2H4B	H4C15
HIST2H3C	H3C14
HIST2H3A	H3C15
HIST2H2AA4	H2AC19
HIST2H2AA3	H2AC18
HIST2H2BC	H2BC20P
HIST2H2BE	H2BC21
HIST2H2AC	H2AC20
HIST2H2AB	H2AC21
LINC00568	FALEC
FAM63A	MINDY1
PRUNE	PRUNE1
KIAA0907	KHDC4
C1orf85	GLMP
APOA1BP	NAXE
KIRREL	KIRREL1
C1orf204	SNHG28
CCDC19	CFAP45
PVRL4	NECTIN4
C1orf192	CFAP126
C1orf111	SPATA46
C1orf110	CCDC190
METTL13	EEF1AKNMT
RFWD2	COP1
GM140	LINC01699
FAM129A	NIBAN1
C1orf27	ODR4
TROVE2	RO60
C1orf106	INAVA
MFSD4	MFSD4A
C1orf186	RHEX
FAIM3	FCMR
DIEXF	UTP25
TMEM206	PACC1
FLVCR1-AS1	FLVCR1-DT
EPRS	EPRS1
AURKAPS1	AURKAP1
H3F3A	H3-3A
H3F3AP4	H3P6
C1orf95	STUM
ADCK3	COQ8A
IBA57-AS1	IBA57-DT
C1orf145	OBSCN-AS1
PCNXL2	PCNX2
ERO1LB	ERO1B
BECN1P1	BECN2
ADSS	ADSS2
C1orf101	CATSPERE
HNRNPU-AS1	HNRNPU
LINC00704	MANCR
AKR1CL1	AKR1C8P
FAM208B	TASOR2
FBXO18	FBH1
ATP5C1	ATP5F1C
C10orf111	RPP38-DT
FAM188A	MINDY3
PTPLA	HACD1
MIR511-1	MIR511
CASC10	MIR1915HG
C10orf115	C10orf67
LINC00264	FAM238A
LINC00202-2	FAM238B
LINC00202-1	FAM238C
KIAA1462	JCAD
SVILP1	SVIL2P
C10orf10	DEPP1
FAM21C	WASHC2C
PTPN20B	PTPN20
BMS1P5	BMS1P1
FAM35BP	SHLD2P1
BMS1P6	BMS1P2
FAM35DP	SHLD2P3
FRMPD2P1	FRMPD2B
GLUD1P7	GLUD1P2
C10orf128	TMEM273
AGAP7	AGAP7P
LINC00948	MRLN
C10orf40	LINC01553
C10orf107	CABCOCO1
