gene_name	mean_length	median_length	max_length
DDX11L1	1144.5	1144.5	1657
WASH7P	1351.0	1351.0	1351
MIR6859-1	68.0	68.0	68
MIR1302-2HG	623.5	623.5	712
MIR1302-2	138.0	138.0	138
FAM138A	888.5	888.5	1187
OR4G4P	840.0	840.0	840
OR4G11P	1176.5	1176.5	1414
OR4F5	1836.0	1836.0	2618
AL627309.1	985.4	629.0	2748
AL627309.3	1319.0	1319.0	1319
CICP27	3812.0	3812.0	3812
AL627309.6	755.0	755.0	755
AL627309.7	284.0	284.0	284
AL627309.2	323.0	323.0	323
AL627309.5	1501.1666666666667	1025.0	4860
RNU6-1100P	104.0	104.0	104
AL627309.4	457.0	457.0	457
FO538757.1	570.0	570.0	570
WASH9P	1397.0	1397.0	1397
MIR6859-2	68.0	68.0	68
AP006222.1	2235.3333333333335	1902.0	5603
AP006222.2	736.0	736.0	736
RPL23AP24	385.0	385.0	385
AL732372.1	675.6666666666666	607.0	994
AL732372.2	547.4	545.0	902
WBP1LP7	363.0	363.0	363
OR4F29	995.0	995.0	995
CICP7	2477.0	2477.0	2477
AL732372.3	1239.0	1239.0	1239
FO681485.1	104.0	104.0	104
AL669831.3	777.8666666666667	818.0	1702
AC114498.1	504.5	504.5	607
MTND1P23	372.0	372.0	372
MTND2P28	1044.0	1044.0	1044
MTCO1P12	1543.0	1543.0	1543
AC114498.2	89.0	89.0	89
MTCO2P12	682.0	682.0	682
MTATP8P1	207.0	207.0	207
MTATP6P1	681.0	681.0	681
MTCO3P12	547.0	547.0	547
WBP1LP6	424.0	424.0	424
OR4F16	995.0	995.0	995
CICP3	2455.0	2455.0	2455
AL669831.1	3424.5	3424.5	6432
RNU6-1199P	104.0	104.0	104
AL669831.2	456.0	456.0	456
LINC01409	1080.21875	1059.0	2949
AL669831.6	114.0	114.0	114
AL669831.4	555.0	555.0	872
FAM87B	1947.0	1947.0	1947
LINC01128	2112.4074074074074	1215.0	8389
LINC00115	1317.0	1317.0	1317
AL669831.7	2289.5	2289.5	2509
FAM41C	919.0	504.0	1807
TUBB8P11	1058.0	1058.0	1058
AL669831.5	837.0	837.0	837
AL645608.6	351.0	351.0	351
AL645608.2	3043.0	3043.0	3043
AL645608.4	443.0	443.0	443
LINC02593	2057.0	1389.0	4152
SAMD11	1699.7058823529412	2159.0	2557
NOC2L	1743.5	1244.5	4201
KLHL17	1380.0	955.0	2567
PLEKHN1	1797.4	2194.0	3176
PERM1	2527.6666666666665	3035.0	3340
AL645608.7	2086.0	2086.0	2086
HES4	911.0	968.5	1040
ISG15	693.6666666666666	657.0	787
AL645608.3	154.0	154.0	154
AL645608.1	471.0	471.0	471
AGRN	3589.8	2142.0	7477
AL645608.5	402.0	402.0	402
AL390719.1	849.0	863.5	1219
AL645608.8	829.0	829.0	829
RNF223	1900.0	1900.0	1900
C1orf159	1446.0	982.0	3315
AL390719.3	1095.0	1095.0	1095
LINC01342	1620.0	1620.0	1620
MIR200B	95.0	95.0	95
MIR200A	90.0	90.0	90
MIR429	83.0	83.0	83
AL390719.2	987.0	987.0	987
TTLL10-AS1	3532.0	3532.0	3532
TTLL10	1149.625	643.0	2307
TNFRSF18	841.5	789.0	1083
TNFRSF4	1058.3333333333333	1075.0	1707
SDF4	1866.111111111111	2079.0	3516
B3GALT6	2805.0	2805.0	2805
C1QTNF12	705.2	647.0	1036
AL162741.1	1558.0	1558.0	1558
UBE2J2	1010.05	861.5	2455
LINC01786	328.5	328.5	389
SCNN1D	1996.875	2473.5	3475
ACAP3	1680.4615384615386	819.0	5319
MIR6726	61.0	61.0	61
PUSL1	1125.2	940.0	1783
INTS11	1256.12	889.5	3079
MIR6727	65.0	65.0	65
AL139287.1	386.0	386.0	386
CPTP	1346.0	1101.0	2154
TAS1R3	3475.0	3475.0	3475
DVL1	1513.625	806.5	3305
MIR6808	59.0	59.0	59
MXRA8	1397.0	1086.0	2728
AURKAIP1	849.1666666666666	836.5	1072
NDUFB4P8	367.0	367.0	367
CCNL2	1704.0	1550.5	4452
MRPL20-AS1	1546.5555555555557	1748.0	2228
MRPL20	808.0	644.0	1693
RN7SL657P	293.0	293.0	293
AL391244.2	1523.0	1523.0	1523
ANKRD65	1636.0	1632.0	2190
AL391244.1	543.0	543.0	543
TMEM88B	492.0	492.0	492
LINC01770	503.0	477.0	634
VWA1	1979.0	1483.0	4492
ATAD3C	1631.6666666666667	525.0	3864
ATAD3B	2923.3333333333335	3300.0	4314
AL645728.2	443.5	443.5	660
ATAD3A	1753.75	2298.0	2612
TMEM240	964.6666666666666	796.0	1381
SSU72	2079.25	1761.0	4176
AL645728.1	1471.0	1471.0	2101
AL691432.3	400.0	400.0	400
FNDC10	2124.0	2124.0	2124
AL691432.4	1830.0	1830.0	1830
AL691432.2	2038.0	2038.0	2038
MIB2	1885.5625	1455.0	4247
MMP23B	873.7	774.5	1531
CDK11B	2345.5555555555557	2490.0	2998
FO704657.1	400.0	400.0	400
SLC35E2B	3919.4	2860.0	6434
AL691432.1	962.0	962.0	1422
MMP23A	1017.0	1017.0	1017
CDK11A	1380.608695652174	931.0	2984
AL031282.2	5079.0	5079.0	5079
AL031282.1	791.0	473.5	1808
SLC35E2A	2324.6666666666665	1754.0	6293
NADK	1200.7058823529412	859.0	3653
GNB1	1629.0	1110.0	3163
AL109917.1	906.0	906.0	906
CALML6	972.75	719.5	1882
TMEM52	736.1666666666666	784.0	1118
CFAP74	2442.2	2365.0	5247
AL391845.2	1465.5	1465.5	1954
GABRD	1435.6315789473683	1578.0	2393
AL391845.1	378.5	378.5	437
PRKCZ	947.9230769230769	702.0	2385
AL590822.2	4196.0	4196.0	4196
PRKCZ-AS1	937.5	937.5	1253
FAAP20	1669.5333333333333	1413.0	4478
AL590822.1	326.0	326.0	326
SKI	1792.0	416.5	6083
AL590822.3	4853.5	4853.5	5675
MORN1	1697.090909090909	1645.0	4764
AL589739.1	493.0	493.0	493
AL513477.1	1310.5	1310.5	2407
AL513477.2	568.0	568.0	568
RER1	1436.5555555555557	695.0	3028
PEX10	1376.7777777777778	907.0	2871
PLCH2	4410.75	4853.5	6986
AL139246.1	455.0	455.0	455
AL139246.4	514.0	514.0	514
PANK4	1221.7692307692307	725.0	2641
HES5	1324.0	1324.0	1324
AL139246.5	1296.0	1296.0	1531
