gene_name	mean_length	median_length	max_length	gene_synonyms
DDX11L1	1652.0	1652.0	1652	
WASH7P	1769.0	1769.0	1769	FAM39F,WASH5P
MIR6859-1	38.0	23.0	68	hsa-mir-6859-1
MIR1302-2HG	538.0	538.0	538	
MIR1302-2	79.5	79.5	138	hsa-mir-1302-2,MIRN1302-2
FAM138A	1130.0	1130.0	1130	F379,FAM138F
OR4G4P	944.0	944.0	944	
OR4G11P	870.0	870.0	870	
OR4F5	918.0	918.0	918	
LOC100996442	1913.5	1413.5	4295	
SEPTIN14P18	2584.0	2584.0	2584	SEPT14P18
CICP27	3769.0	3769.0	3769	
LOC729737	5474.0	5474.0	5474	
RNU6-1100P	104.0	104.0	104	
GTF2IP10	104.0	104.0	104	
LOC102725121	1607.0	1607.0	1607	
WASH9P	1761.0	1761.0	1761	
MIR6859-2	38.0	23.0	68	hsa-mir-6859-2
LOC107985721	2706.0	2706.0	2706	
RPL23AP21	526.0	526.0	526	RPL23A_1_1
RPL23AP24	473.0	473.0	473	RPL23A_1_2
LOC112268260	1076.3	695.0	2769	
WBP1LP7	507.0	507.0	507	
OR4F29	939.0	939.0	939	OR7-21
SEPTIN14P13	378.0	378.0	378	SEPT14P13
CICP7	3765.0	3765.0	3765	
LOC100132287	4370.0	4370.0	4370	
LOC105378947	2343.0	2343.0	2343	
LOC101928626	798.0	798.0	798	
MTND1P23	379.0	379.0	379	
MTND2P28	1047.0	1047.0	1047	
MTCO1P12	1543.0	1543.0	1543	
MIR12136	44.5	44.5	71	
MTCO2P12	682.0	682.0	682	COII,COX2,COXII,MT-CO2,MTCO2
MTATP8P1	207.0	207.0	207	
MTATP6P1	681.0	681.0	681	
MTCO3P12	547.0	547.0	547	
WBP1LP6	504.0	504.0	504	
OR4F16	4770.0	5253.5	5477	OR1-1,OR7-21
SEPTIN14P14	2582.0	2582.0	2582	SEPT14P14
CICP3	3777.0	3777.0	3777	
LOC100133331	4273.0	4273.0	4273	
LOC107984841	660.0	660.0	660	
LOC107984847	468.5	468.5	478	
LOC107984849	280.0	280.0	280	
RNU6-1199P	104.0	104.0	104	
LOC100288069	1371.0	1371.0	1371	
LINC01409	2128.2	2118.0	3071	
FAM87B	1944.0	1944.0	1944	
LINC00115	1317.0	1317.0	1317	NCRNA00115
LINC01128	5924.5	6508.5	6776	
LOC107984850	1891.5	1891.5	2112	
FAM41C	1706.0	1706.0	1706	
TUBB8P11	1224.0	1224.0	1224	
LOC284600	3858.0	3858.0	3858	
LINC02593	1476.0	1476.0	1506	
LOC107985728	3646.0	3646.0	3646	
SAMD11	2557.0	2557.0	2557	MRS
NOC2L	2757.0	2757.0	2757	NET15,NET7,NIR,PPP1R112
KLHL17	2873.0	3108.5	3194	
PLEKHN1	2571.4545454545455	2575.0	3212	CLPABP
PERM1	3398.8	3425.0	3615	C1orf170
HES4	1198.0	963.0	1746	bHLHb42
RPL39P12	231.0	231.0	231	RPL39_1_3
ISG15	637.0	637.0	637	G1P2,hUCRP,IFI15,IMD38,IP17,UCRP
AGRN	7269.5	7342.5	7533	AGRIN,CMS8,CMSPPD
LOC100288175	974.0	974.0	974	
LOC112267874	1451.0	1451.0	2234	
LOC105378948	2420.5	2420.5	2920	
RNF223	1900.0	1900.0	1900	
C1orf159	2196.0	2324.0	2432	
LINC01342	1620.0	1620.0	1620	
MIR200B	46.333333333333336	22.0	95	mir-200b,MIRN200B
MIR200A	44.666666666666664	22.0	90	mir-200a,MIRN200A
MIR429	52.5	52.5	83	hsa-mir-429,mir-429,MIRN429
TTLL10-AS1	2725.5	2725.5	3626	
TTLL10	2076.285714285714	2133.5	2339	TTLL5
TNFRSF18	1368.5	1072.5	2457	AITR,CD357,ENERGEN,GITR,GITR-D
